gender,NationalITy,Topic,Relation,raisedhands,VisITedResources,AnnouncementsView,Discussion,ParentschoolSatisfaction,Class,subject,resp_parent,Parent_Sats,final_grade,citizenship,sex
M,KW,IT,Father,15,16,2,20,Good,M,5,2,2,2,1,2
M,KW,IT,Father,20,20,3,25,Good,M,5,2,2,2,1,2
M,KW,IT,Father,10,7,0,30,Bad,L,5,2,1,1,1,2
M,KW,IT,Father,30,25,5,35,Bad,L,5,2,1,1,1,2
M,KW,IT,Father,40,50,12,50,Bad,M,5,2,1,2,1,2
F,KW,IT,Father,42,30,13,70,Bad,M,5,2,1,2,1,1
M,KW,Math,Father,35,12,0,17,Bad,L,6,2,1,1,1,2
M,KW,Math,Father,50,10,15,22,Good,M,6,2,2,2,1,2
F,KW,Math,Father,12,21,16,50,Good,M,6,2,2,2,1,1
F,KW,IT,Father,70,80,25,70,Good,M,5,2,2,2,1,1
M,KW,Math,Father,50,88,30,80,Good,H,6,2,2,3,1,2
M,KW,Math,Father,19,6,19,12,Good,M,6,2,2,2,1,2
M,KW,IT,Father,5,1,0,11,Bad,L,5,2,1,1,1,2
M,lebanon,Math,Father,20,14,12,19,Bad,L,6,2,1,1,NA,2
F,KW,Math,Mum,62,70,44,60,Bad,H,6,1,1,3,1,1
F,KW,IT,Father,30,40,22,66,Good,M,5,2,2,2,1,1
M,KW,IT,Father,36,30,20,80,Bad,M,5,2,1,2,1,2
M,KW,Math,Father,55,13,35,90,Bad,M,6,2,1,2,1,2
F,KW,IT,Mum,69,15,36,96,Good,M,5,1,2,2,1,1
M,KW,IT,Mum,70,50,40,99,Good,H,5,1,2,3,1,2
F,KW,IT,Father,60,60,33,90,Bad,M,5,2,1,2,1,1
F,KW,IT,Father,10,12,4,80,Bad,M,5,2,1,2,1,1
M,KW,IT,Father,15,21,2,90,Bad,M,5,2,1,2,1,2
M,KW,IT,Father,2,0,2,50,Bad,L,5,2,1,1,1,2
M,KW,IT,Father,0,2,3,70,Good,L,5,2,2,1,1,2
M,KW,IT,Father,8,7,30,40,Good,L,5,2,2,1,1,2
M,KW,IT,Father,19,19,25,40,Bad,M,5,2,1,2,1,2
M,KW,Arabic,Father,25,15,12,33,Bad,L,4,2,1,1,1,2
M,KW,Science,Father,75,85,52,43,Good,M,9,2,2,2,1,2
F,KW,Arabic,Father,30,90,33,35,Bad,M,4,2,1,2,1,1
F,KW,Arabic,Father,35,80,50,70,Good,H,4,2,2,3,1,1
M,KW,IT,Father,4,5,40,16,Good,L,5,2,2,1,1,2
F,KW,IT,Father,2,19,10,50,Good,L,5,2,2,1,1,1
